emp_id, first_name, last_name, email, phone_number, hire_date, job_id, salary, department_id, manager_id
133,Jason               ,Mallin                   ,Jason.Mallin@gmail.com                            ,650.127.1934        ,14-Jun-96,ST_CLERK  ,3300,50,122
143,Randall             ,Matos                    ,Randall.Matos@gmail.com                           ,650.121.2874        ,15-Mar-98,ST_CLERK  ,2600,50,124
125,Julia               ,Nayer                    ,Julia.Nayer@gmail.com                             ,650.124.1214        ,16-Jul-97,ST_CLERK  ,3200,50,120
106,Valli               ,Pataballa                ,Valli.Pataballa@gmail.com                         ,590.423.4560        ,05-Feb-98,IT_PROG   ,4800,60,103
141,Trenna              ,Rajs                     ,Trenna.Rajs@gmail.com                             ,650.121.8009        ,17-Oct-95,ST_CLERK  ,3500,50,124
184,Nandita             ,Sarchand                 ,NSarchand                                         ,650.509.1876        ,27-Jan-96,SH_CLERK  ,4200,50,121
138,Stephen             ,Stiles                   ,Stephen.Stiles@gmail.com                          ,650.121.2034        ,26-Oct-97,ST_CLERK  ,3200,50,123
180,Winston             ,Taylor                   ,WTaylor                                           ,650.507.9876        ,24-Jan-98,SH_CLERK  ,3200,50,120
144,Peter               ,Vargas                   ,Peter.Vargas@gmail.com                            ,650.121.2004        ,09-Jul-98,ST_CLERK  ,2500,50,124
149,Eleni               ,Zlotkey                  ,Eleni.Zlotkey@gmail.com                           ,011.44.1344.429018  ,29-Jan-00,SA_MAN    ,10500,80,100
100,Steven              ,King                     ,Steven.King@gmail.com                             ,515.123.4567        ,17-Jun-87,AD_PRES   ,24000,90,
101,Neena               ,Kochhar                  ,Neena.Kochhar@gmail.com                           ,515.123.4568        ,21-Sep-89,AD_VP     ,17000,90,100
102,Lex                 ,De Haan                  ,Lex.De Haan@gmail.com                             ,515.123.4569        ,13-Jan-93,AD_VP     ,17000,90,100
103,Alexander           ,Hunold                   ,Alexander.Hunold@gmail.com                        ,590.423.4567        ,03-Jan-90,IT_PROG   ,9000,60,102
104,Bruce               ,Ernst                    ,Bruce.Ernst@gmail.com                             ,590.423.4568        ,21-May-91,IT_PROG   ,6000,60,103
105,David               ,Austin                   ,David.Austin@gmail.com                            ,590.423.4569        ,25-Jun-97,IT_PROG   ,4800,60,103
107,Diana               ,Lorentz                  ,Diana.Lorentz@gmail.com                           ,590.423.5567        ,07-Feb-99,IT_PROG   ,4200,60,103
108,Nancy               ,Greenberg                ,Nancy.Greenberg@gmail.com                         ,515.124.4569        ,17-Aug-94,FI_MGR    ,12000,100,101
109,Daniel              ,Faviet                   ,Daniel.Faviet@gmail.com                           ,515.124.4169        ,16-Aug-94,FI_ACCOUNT,9000,100,108
110,John                ,Chen                     ,John.Chen@gmail.com                               ,515.124.4269        ,28-Sep-97,FI_ACCOUNT,8200,100,108
111,Ismael              ,Sciarra                  ,Ismael.Sciarra@gmail.com                          ,515.124.4369        ,30-Sep-97,FI_ACCOUNT,7700,100,108
112,Jose Manuel         ,Urman                    ,Jose Manuel.Urman@gmail.com                       ,515.124.4469        ,07-Mar-98,FI_ACCOUNT,7800,100,108
113,Luis                ,Popp                     ,Luis.Popp@gmail.com                               ,515.124.4567        ,07-Dec-99,FI_ACCOUNT,6900,100,108
114,Den                 ,Raphaely                 ,Den.Raphaely@gmail.com                            ,515.127.4561        ,07-Dec-94,PU_MAN    ,11000,30,100
115,Alexander           ,Khoo                     ,Alexander.Khoo@gmail.com                          ,515.127.4562        ,18-May-95,PU_CLERK  ,3100,30,114
116,Shelli              ,Baida                    ,Shelli.Baida@gmail.com                            ,515.127.4563        ,24-Dec-97,PU_CLERK  ,2900,30,114
117,Sigal               ,Tobias                   ,Sigal.Tobias@gmail.com                            ,515.127.4564        ,24-Jul-97,PU_CLERK  ,2800,30,114
118,Guy                 ,Himuro                   ,Guy.Himuro@gmail.com                              ,515.127.4565        ,15-Nov-98,PU_CLERK  ,2600,30,114
119,Karen               ,Colmenares               ,Karen.Colmenares@gmail.com                        ,515.127.4566        ,10-Aug-99,PU_CLERK  ,2500,30,114
120,Matthew             ,Weiss                    ,Matthew.Weiss@gmail.com                           ,650.123.1234        ,18-Jul-96,ST_MAN    ,8000,50,100
121,Adam                ,Fripp                    ,Adam.Fripp@gmail.com                              ,650.123.2234        ,10-Apr-97,ST_MAN    ,8200,50,100
122,Payam               ,Kaufling                 ,Payam.Kaufling@gmail.com                          ,650.123.3234        ,01-May-95,ST_MAN    ,7900,50,100
123,Shanta              ,Vollman                  ,Shanta.Vollman@gmail.com                          ,650.123.4234        ,10-Oct-97,ST_MAN    ,6500,50,100
124,Kevin               ,Mourgos                  ,Kevin.Mourgos@gmail.com                           ,650.123.5234        ,16-Nov-99,ST_MAN    ,5800,50,100
126,Irene               ,Mikkilineni              ,Irene.Mikkilineni@gmail.com                       ,650.124.1224        ,28-Sep-98,ST_CLERK  ,2700,50,120
127,James               ,Landry                   ,James.Landry@gmail.com                            ,650.124.1334        ,14-Jan-99,ST_CLERK  ,2400,50,120
128,Steven              ,Markle                   ,Steven.Markle@gmail.com                           ,650.124.1434        ,08-Mar-00,ST_CLERK  ,2200,50,120
129,Laura               ,Bissot                   ,Laura.Bissot@gmail.com                            ,650.124.5234        ,20-Aug-97,ST_CLERK  ,3300,50,121
130,Mozhe               ,Atkinson                 ,Mozhe.Atkinson@gmail.com                          ,650.124.6234        ,30-Oct-97,ST_CLERK  ,2800,50,121
131,James               ,Marlow                   ,James.Marlow@gmail.com                            ,650.124.7234        ,16-Feb-97,ST_CLERK  ,2500,50,121
132,TJ                  ,Olson                    ,TJ.Olson@gmail.com                                ,650.124.8234        ,10-Apr-99,ST_CLERK  ,2100,50,121
134,Michael             ,Rogers                   ,Michael.Rogers@gmail.com                          ,650.127.1834        ,26-Aug-98,ST_CLERK  ,2900,50,122
135,Ki                  ,Gee                      ,Ki.Gee@gmail.com                                  ,650.127.1734        ,12-Dec-99,ST_CLERK  ,2400,50,122
136,Hazel               ,Philtanker               ,Hazel.Philtanker@gmail.com                        ,650.127.1634        ,06-Feb-00,ST_CLERK  ,2200,50,122
137,Renske              ,Ladwig                   ,Renske.Ladwig@gmail.com                           ,650.121.1234        ,14-Jul-95,ST_CLERK  ,3600,50,123
139,John                ,Seo                      ,John.Seo@gmail.com                                ,650.121.2019        ,12-Feb-98,ST_CLERK  ,2700,50,123
140,Joshua              ,Patel                    ,Joshua.Patel@gmail.com                            ,650.121.1834        ,06-Apr-98,ST_CLERK  ,2500,50,123
142,Curtis              ,Davies                   ,Curtis.Davies@gmail.com                           ,650.121.2994        ,29-Jan-97,ST_CLERK  ,3100,50,124
145,John                ,Russell                  ,John.Russell@gmail.com                            ,011.44.1344.429268  ,01-Oct-96,SA_MAN    ,14000,80,100
146,Karen               ,Partners                 ,Karen.Partners@gmail.com                          ,011.44.1344.467268  ,05-Jan-97,SA_MAN    ,13500,80,100
147,Alberto             ,Errazuriz                ,Alberto.Errazuriz@gmail.com                       ,011.44.1344.429278  ,10-Mar-97,SA_MAN    ,12000,80,100
